txn_id,country,payment_method,amount,timestamp,selected_psp,best_psp,outcome,reward,latency_ms,attempts,final_psp,final_outcome,psp_ranking
txn_90,ZAR,Bank Transfer,3302.81,2026-04-26T15:30:45.376098,Bitlipa,Bitlipa,success,48.2743,1783,Bitlipa,Bitlipa,success,Bitlipa
txn_91,UGX,MTN,4934.58,2026-04-26T15:30:45.378688,Fincra,Fincra,success,71.7623,641,Fincra,Fincra,success,Fincra|relworx|Dusupay|Bitlipa|payaza
txn_92,JPY,Bank Transfer,1853.34,2026-04-26T15:30:45.381379,Shimatomo,Shimatomo,success,26.5379,1216,Shimatomo,Shimatomo,success,Shimatomo
txn_93,BRL,Bank Transfer,2523.58,2026-04-26T15:30:45.383957,bitso,tazapay,success,36.0956,810,bitso,bitso,success,tazapay|bitso|directa24|Alfred|BRLA
txn_94,JPY,Bank Transfer,998.01,2026-04-26T15:30:45.386663,Shimatomo,Shimatomo,success,13.7077,1249,Shimatomo,Shimatomo,success,Shimatomo
txn_95,ARS,Bank Transfer,54.42,2026-04-26T15:30:45.389278,bitso,bitso,failure,-2.1695,1134,bitso,bitso,failure,bitso
txn_96,JPY,Bank Transfer,1167.93,2026-04-26T15:30:45.392219,Shimatomo,Shimatomo,failure,-10.0226,1314,Shimatomo,Shimatomo,failure,Shimatomo
txn_97,EUR,Bank Transfer,1181.54,2026-04-26T15:30:45.395284,openpayd,openpayd,success,5.3428,878,openpayd→clearjunction,clearjunction,success,openpayd|clearjunction|altpay
txn_98,EGP,Bank Transfer,4216.66,2026-04-26T15:30:45.400680,Afriex,Afriex,failure,-32.8904,1547,Afriex,Afriex,failure,Afriex
txn_99,XAF,MTN,4904.9,2026-04-26T15:30:45.403329,Afriex,Afriex,success,72.3065,1699,Afriex,Afriex,success,Afriex
txn_100,PLN,BLIK,4058.69,2026-04-26T15:30:45.405992,Vimoni,Vimoni,failure,-31.705,1481,Vimoni,Vimoni,failure,Vimoni
txn_101,CAD,Interac Bank Transfer,1896.34,2026-04-26T15:30:45.408775,apaylo,apaylo,failure,-15.4876,1509,apaylo,apaylo,failure,apaylo
txn_102,XAF,MTN,1906.96,2026-04-26T15:30:45.411463,Afriex,Afriex,success,27.3419,1252,Afriex,Afriex,success,Afriex
txn_103,EGP,Bank Transfer,3742.18,2026-04-26T15:30:45.414108,Afriex,Afriex,success,54.8686,1413,Afriex,Afriex,success,Afriex
txn_104,XOF,Wave,2382.82,2026-04-26T15:30:45.416716,payaza,payaza,success,34.475,1733,payaza,payaza,success,payaza
txn_105,MXN,Bank Transfer,2067.82,2026-04-26T15:30:45.419347,directa24,directa24,success,29.258,934,directa24,directa24,success,directa24|tazapay|bitso|Alfred
txn_106,GHS,Mobile Money,200.75,2026-04-26T15:30:45.422348,korapay,korapay,success,0.7543,695,korapay,korapay,success,korapay|Bitlipa
txn_107,IDR,QRIS,3248.63,2026-04-26T15:30:45.425215,payok,payok,success,46.9689,1059,payok,payok,success,payok|awepay|brick
txn_108,GLOBAL,Apple Pay,2217.71,2026-04-26T15:30:45.428188,checkout,checkout,failure,-18.8897,688,checkout,checkout,failure,checkout
txn_109,TZS,Vodacom M-Pesa,782.34,2026-04-26T15:30:45.430967,yellowcard,relworx,success,2.8436,888,yellowcard→Bitlipa,Bitlipa,success,relworx|yellowcard|Bitlipa|payaza|Dusupay
txn_110,GLOBAL,Apple Pay,3278.89,2026-04-26T15:30:45.436631,checkout,checkout,success,46.9261,720,checkout,checkout,success,checkout
txn_111,PLN,BLIK,3755.93,2026-04-26T15:30:45.439362,Vimoni,Vimoni,success,55.0739,1504,Vimoni,Vimoni,success,Vimoni
txn_112,CLP,Bank Transfer,3380.23,2026-04-26T15:30:45.442054,directa24,directa24,success,48.9449,858,directa24,directa24,success,directa24
txn_113,CLP,Bank Transfer,3185.23,2026-04-26T15:30:45.444736,directa24,directa24,success,46.0189,956,directa24,directa24,success,directa24
txn_114,XOF,Wave,847.68,2026-04-26T15:30:45.447387,payaza,payaza,success,11.45,1524,payaza,payaza,success,payaza
txn_115,PLN,BLIK,4853.73,2026-04-26T15:30:45.450112,Vimoni,Vimoni,success,71.5414,1457,Vimoni,Vimoni,success,Vimoni
txn_116,TZS,Mobile Money,2228.53,2026-04-26T15:30:45.452885,yellowcard,relworx,success,31.6665,1145,yellowcard,yellowcard,success,relworx|yellowcard|payaza|Bitlipa|Dusupay
txn_117,EGP,Bank Transfer,2509.57,2026-04-26T15:30:45.455832,Afriex,Afriex,failure,-20.0882,1643,Afriex,Afriex,failure,Afriex
txn_118,CLP,Bank Transfer,2067.48,2026-04-26T15:30:45.458848,directa24,directa24,success,29.2505,1168,directa24,directa24,success,directa24
txn_119,BRL,PIX QR,1682.51,2026-04-26T15:30:45.461663,directa24,bitso,success,23.4766,1106,directa24,directa24,success,bitso|tazapay|directa24|Alfred|BRLA
txn_120,BRL,Bank Transfer,1951.53,2026-04-26T15:30:45.464571,directa24,directa24,success,27.5142,872,directa24,directa24,success,directa24|bitso|Alfred|tazapay|BRLA
txn_121,EGP,Bank Transfer,2886.19,2026-04-26T15:30:45.467445,Afriex,Afriex,failure,-22.9129,1651,Afriex,Afriex,failure,Afriex
txn_122,MXN,SPEI,4883.14,2026-04-26T15:30:45.470596,directa24,directa24,success,33.1039,1031,directa24→tazapay,tazapay,success,directa24|tazapay|bitso|Alfred
txn_123,THB,Thai QR,3250.21,2026-04-26T15:30:45.476230,payok,payok,failure,-77.4192,942,payok→M2pay→awepay,awepay,failure,payok|M2pay|awepay
txn_124,GLOBAL,Google Pay,1094.03,2026-04-26T15:30:45.484238,checkout,checkout,success,14.1534,709,checkout,checkout,success,checkout
txn_125,THB,Thai QR,1152.97,2026-04-26T15:30:45.486887,payok,payok,success,15.5327,1188,payok,payok,success,payok|awepay|M2pay
txn_126,GHS,MTN,2957.93,2026-04-26T15:30:45.489600,korapay,korapay,success,42.1126,635,korapay,korapay,success,korapay|Bitlipa
txn_127,GLOBAL,Card,3981.48,2026-04-26T15:30:45.492295,checkout,checkout,failure,-32.1175,640,checkout,checkout,failure,checkout
txn_128,BRL,PIX,712.68,2026-04-26T15:30:45.494951,directa24,bitso,success,8.9303,994,directa24,directa24,success,bitso|tazapay|directa24|Alfred|BRLA
txn_129,JPY,Bank Transfer,2478.9,2026-04-26T15:30:45.497709,Shimatomo,Shimatomo,failure,-19.8562,1447,Shimatomo,Shimatomo,failure,Shimatomo
txn_130,COP,PSE,4774.37,2026-04-26T15:30:45.500364,directa24,directa24,success,69.8558,976,directa24,directa24,success,directa24|bitso|Alfred|cobre
txn_131,ZAR,Bank Transfer,418.2,2026-04-26T15:30:45.503082,Bitlipa,Bitlipa,failure,-4.4006,1408,Bitlipa,Bitlipa,failure,Bitlipa
txn_132,EUR,Bank Transfer,4008.23,2026-04-26T15:30:45.505733,openpayd,openpayd,success,58.365,843,openpayd,openpayd,success,openpayd|clearjunction|altpay
txn_133,THB,Thai QR,3447.68,2026-04-26T15:30:45.508419,payok,payok,success,49.9556,964,payok,payok,success,payok|awepay|M2pay
txn_134,KES,Mobile Money,2654.1,2026-04-26T15:30:45.511114,Fincra,Fincra,success,37.5554,610,Fincra,Fincra,success,Fincra|korapay|Passpoint|yellowcard|Sasapay
txn_135,PHP,QRPH,4998.92,2026-04-26T15:30:45.513871,Xendit,Xendit,success,72.726,777,Xendit,Xendit,success,Xendit|paymongo|wingpay|CoinsPH|Innovative
txn_136,AUD,PayID,1858.75,2026-04-26T15:30:45.516618,Banxa,Banxa,success,26.6192,1206,Banxa,Banxa,success,Banxa
txn_137,NGN,Bank Transfer,947.59,2026-04-26T15:30:45.519256,Fincra,Fincra,success,11.9579,600,Fincra,Fincra,success,Fincra|Passpoint|korapay|yellowcard
txn_138,GLOBAL,Card,3009.66,2026-04-26T15:30:45.521980,checkout,checkout,failure,-24.8307,823,checkout,checkout,failure,checkout
txn_139,EGP,Bank Transfer,1665.25,2026-04-26T15:30:45.524676,Afriex,Afriex,success,23.7129,1584,Afriex,Afriex,success,Afriex
txn_140,XAF,MTN,2114.75,2026-04-26T15:30:45.527563,Afriex,Afriex,success,30.4571,1415,Afriex,Afriex,success,Afriex
txn_141,XOF,Wave,3446.54,2026-04-26T15:30:45.530277,payaza,payaza,failure,-27.1112,1218,payaza,payaza,failure,payaza
txn_142,NGN,Bank Transfer,802.16,2026-04-26T15:30:45.532935,Fincra,Fincra,success,1.503,611,Fincra→korapay,korapay,success,Fincra|korapay|Passpoint|yellowcard
txn_143,IDR,OVO,3463.53,2026-04-26T15:30:45.538266,payok,payok,failure,-82.2209,1097,payok→awepay→brick,brick,failure,payok|awepay|brick
txn_144,KES,Mobile Money,2883.76,2026-04-26T15:30:45.546356,Passpoint,korapay,success,41.0003,607,Passpoint,Passpoint,success,korapay|Fincra|Passpoint|yellowcard|Sasapay
txn_145,CLP,Bank Transfer,4636.28,2026-04-26T15:30:45.549147,directa24,directa24,success,67.784,1024,directa24,directa24,success,directa24
txn_146,ARS,Bank Transfer,4209.59,2026-04-26T15:30:45.551819,bitso,bitso,success,61.3851,879,bitso,bitso,success,bitso
txn_147,PEN,Bank Transfer,1104.97,2026-04-26T15:30:45.554491,directa24,directa24,success,14.8129,1161,directa24,directa24,success,directa24
txn_148,MXN,Bank Transfer,103.44,2026-04-26T15:30:45.559051,directa24,directa24,success,-0.2065,812,directa24,directa24,success,directa24|Alfred|tazapay|bitso
txn_149,ZAR,Bank Transfer,4738.74,2026-04-26T15:30:45.561824,Bitlipa,Bitlipa,failure,-36.8059,1535,Bitlipa,Bitlipa,failure,Bitlipa
txn_150,PLN,BLIK,1046.03,2026-04-26T15:30:45.564504,Vimoni,Vimoni,success,14.4246,1586,Vimoni,Vimoni,success,Vimoni
txn_151,PHP,QRPH,4016.01,2026-04-26T15:30:45.567160,Xendit,Xendit,success,26.5987,694,Xendit→wingpay,wingpay,success,Xendit|paymongo|wingpay|CoinsPH|Innovative
txn_152,TZS,Airtel,1055.73,2026-04-26T15:30:45.572580,relworx,relworx,success,4.3956,1042,relworx→yellowcard,yellowcard,success,relworx|yellowcard|Bitlipa|payaza|Dusupay
txn_153,THB,Thai QR,248.13,2026-04-26T15:30:45.577995,payok,payok,failure,-9.874,1054,payok→awepay→M2pay,M2pay,failure,payok|awepay|M2pay
txn_154,MXN,CODI,3075.04,2026-04-26T15:30:45.586010,tazapay,bitso,success,19.544,884,tazapay→bitso,bitso,success,bitso|tazapay|directa24|Alfred
txn_155,UGX,Airtel,3877.46,2026-04-26T15:30:45.591788,Fincra,Fincra,success,25.0657,577,Fincra→relworx,relworx,success,Fincra|relworx|Bitlipa|payaza|Dusupay
txn_156,THB,Thai QR,182.31,2026-04-26T15:30:45.597266,payok,payok,success,0.9766,807,payok,payok,success,payok|awepay|M2pay
txn_157,PEN,Bank Transfer,3663.32,2026-04-26T15:30:45.600011,directa24,directa24,success,53.1914,837,directa24,directa24,success,directa24
txn_158,ARS,Bank Transfer,1118.23,2026-04-26T15:30:45.602700,bitso,bitso,success,15.0118,1168,bitso,bitso,success,bitso
txn_159,UGX,Airtel,425.43,2026-04-26T15:30:45.605383,Fincra,Fincra,success,-0.8268,642,Fincra→relworx,relworx,success,Fincra|relworx|Bitlipa|Dusupay|payaza
txn_160,XAF,MTN,1453.09,2026-04-26T15:30:45.610833,Afriex,Afriex,success,20.5334,1295,Afriex,Afriex,success,Afriex
txn_161,PHP,Bank Transfer,2240.15,2026-04-26T15:30:45.613522,Xendit,Xendit,success,31.3466,566,Xendit,Xendit,success,Xendit|paymongo|wingpay|Innovative|CoinsPH
txn_162,COP,PSE,2572.71,2026-04-26T15:30:45.616327,bitso,bitso,success,36.8293,1136,bitso,bitso,success,bitso|directa24|Alfred|cobre
txn_163,PHP,QRPH,3781.49,2026-04-26T15:30:45.619106,Xendit,Xendit,failure,-90.3645,691,Xendit→wingpay→paymongo,paymongo,failure,Xendit|paymongo|wingpay|CoinsPH|Innovative
txn_164,EGP,Bank Transfer,53.94,2026-04-26T15:30:45.627200,Afriex,Afriex,success,-0.4567,1584,Afriex,Afriex,success,Afriex
txn_165,PEN,Bank Transfer,1402.16,2026-04-26T15:30:45.629910,directa24,directa24,success,19.2708,1156,directa24,directa24,success,directa24
txn_166,XAF,MTN,611.51,2026-04-26T15:30:45.632681,Afriex,Afriex,failure,-5.8486,1224,Afriex,Afriex,failure,Afriex
txn_167,BRL,PIX QR,1195.89,2026-04-26T15:30:45.635687,bitso,bitso,success,16.1782,1017,bitso,bitso,success,bitso|directa24|tazapay|Alfred|BRLA
txn_168,XOF,Wave,772.36,2026-04-26T15:30:45.638531,payaza,payaza,success,10.3231,1229,payaza,payaza,success,payaza
txn_169,ARS,Bank Transfer,2885.95,2026-04-26T15:30:45.641267,bitso,bitso,success,41.5308,840,bitso,bitso,success,bitso
txn_170,COP,PSE,1935.51,2026-04-26T15:30:45.643975,bitso,directa24,success,10.9966,1127,bitso→directa24,directa24,success,directa24|Alfred|bitso|cobre
txn_171,ARS,Bank Transfer,2149.48,2026-04-26T15:30:45.649401,bitso,bitso,success,30.4812,1104,bitso,bitso,success,bitso
txn_172,EGP,Bank Transfer,2858.71,2026-04-26T15:30:45.652105,Afriex,Afriex,success,41.6161,1451,Afriex,Afriex,success,Afriex
