txn_id,chosen_psp,best_psp,chosen_score,best_score,regret,is_optimal,counterfactual_psp,counterfactual_regret,decision_quality
txn_75,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_76,tazapay,directa24,0.6377,0.6617,0.024,0,Alfred,0.008,Near-optimal
txn_77,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_78,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_79,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_80,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_81,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_82,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_83,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_84,tazapay,directa24,0.6377,0.6617,0.024,0,bitso,-0.008,Near-optimal
txn_85,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_86,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_87,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_88,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_89,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_90,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_91,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_92,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_93,bitso,directa24,0.6457,0.6617,0.016,0,tazapay,0.008,Near-optimal
txn_94,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_95,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_96,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_97,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_98,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_99,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_100,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_101,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_102,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_103,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_104,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_105,directa24,directa24,0.6617,0.6617,0.0,1,tazapay,0.024,Optimal
txn_106,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_107,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_108,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_109,yellowcard,relworx,0.6617,0.6777,0.016,0,relworx,-0.016,Near-optimal
txn_110,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_111,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_112,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_113,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_114,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_115,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_116,yellowcard,relworx,0.6617,0.6777,0.016,0,relworx,-0.016,Near-optimal
txn_117,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_118,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_119,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_120,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_121,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_122,directa24,directa24,0.6617,0.6617,0.0,1,tazapay,0.024,Optimal
txn_123,payok,payok,0.6937,0.6937,0.0,1,M2pay,0.115333,Optimal
txn_124,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_125,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_126,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_127,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_128,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_129,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_130,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_131,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_132,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_133,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_134,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_135,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_136,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_137,Fincra,Fincra,0.737,0.737,0.0,1,Passpoint,0.032,Optimal
txn_138,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_139,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_140,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_141,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_142,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_143,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_144,Passpoint,Fincra,0.705,0.737,0.032,0,korapay,-0.016,Near-optimal
txn_145,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_146,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_147,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_148,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_149,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_150,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_151,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_152,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_153,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_154,tazapay,directa24,0.6377,0.6617,0.024,0,bitso,-0.008,Near-optimal
txn_155,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_156,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_157,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_158,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_159,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_160,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_161,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_162,bitso,directa24,0.6457,0.6617,0.016,0,directa24,-0.016,Near-optimal
txn_163,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_164,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_165,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_166,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_167,bitso,directa24,0.6457,0.6617,0.016,0,directa24,-0.016,Near-optimal
txn_168,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_169,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_170,bitso,directa24,0.6457,0.6617,0.016,0,directa24,-0.016,Near-optimal
txn_171,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_172,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_173,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_174,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_175,directa24,directa24,0.6617,0.6617,0.0,1,tazapay,0.024,Optimal
txn_176,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_177,awepay,1vnpay,0.5943,0.6103,0.016,0,1vnpay,-0.016,Near-optimal
txn_178,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_179,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_180,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_181,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_182,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_183,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_184,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_185,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_186,M2pay,awepay,0.5783,0.5943,0.016,0,awepay,-0.016,Near-optimal
txn_187,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_188,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_189,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_190,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_191,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_192,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_193,clearjunction,openpayd,0.6377,0.6457,0.008,0,openpayd,-0.008,Near-optimal
txn_194,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_195,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_196,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_197,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_198,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_199,awepay,awepay,0.5943,0.5943,0.0,1,M2pay,0.016,Optimal
txn_200,awepay,awepay,0.5943,0.5943,0.0,1,M2pay,0.016,Optimal
txn_201,Passpoint,Fincra,0.705,0.737,0.032,0,Fincra,-0.032,Near-optimal
txn_202,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_203,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_204,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_205,payok,payok,0.6937,0.6937,0.0,1,brick,0.099333,Optimal
txn_206,awepay,1vnpay,0.5943,0.6103,0.016,0,1vnpay,-0.016,Near-optimal
txn_207,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_208,bitso,directa24,0.6457,0.6617,0.016,0,directa24,-0.016,Near-optimal
txn_209,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_210,korapay,Fincra,0.721,0.737,0.016,0,Fincra,-0.016,Near-optimal
txn_211,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_212,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_213,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_214,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_215,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_216,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_217,payok,payok,0.6937,0.6937,0.0,1,M2pay,0.115333,Optimal
txn_218,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_219,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_220,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_221,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_222,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_223,payok,payok,0.6937,0.6937,0.0,1,M2pay,0.115333,Optimal
txn_224,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_225,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_226,yellowcard,relworx,0.6617,0.6777,0.016,0,relworx,-0.016,Near-optimal
txn_227,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_228,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_229,M2pay,awepay,0.5783,0.5943,0.016,0,awepay,-0.016,Near-optimal
txn_230,bitso,directa24,0.6457,0.6617,0.016,0,directa24,-0.016,Near-optimal
txn_231,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_232,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_233,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_234,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_235,M2pay,awepay,0.5783,0.5943,0.016,0,awepay,-0.016,Near-optimal
txn_236,Fincra,Fincra,0.737,0.737,0.0,1,Passpoint,0.032,Optimal
txn_237,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_238,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_239,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_240,openpayd,openpayd,0.6457,0.6457,0.0,1,altpay,0.043333,Optimal
txn_241,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_242,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_243,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_244,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_245,awepay,awepay,0.5943,0.5943,0.0,1,M2pay,0.016,Optimal
txn_246,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_247,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_248,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_249,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_250,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_251,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_252,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_253,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_254,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_255,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_256,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_257,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_258,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_259,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_260,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_261,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_262,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_263,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_264,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_265,Fincra,Fincra,0.737,0.737,0.0,1,Passpoint,0.032,Optimal
txn_266,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_267,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_268,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_269,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_270,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_271,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_272,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_273,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_274,1vnpay,1vnpay,0.6103,0.6103,0.0,1,awepay,0.016,Optimal
txn_275,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_276,1vnpay,1vnpay,0.6103,0.6103,0.0,1,M2pay,0.032,Optimal
txn_277,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_278,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_279,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_280,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_281,Bitlipa,relworx,0.5943,0.6777,0.083333,0,yellowcard,-0.067333,Suboptimal
txn_282,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_283,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_284,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_285,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_286,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_287,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_288,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_289,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_290,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_291,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_292,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_293,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_294,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_295,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_296,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_297,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_298,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_299,Bitlipa,Bitlipa,0.5943,0.5943,0.0,1,,0.594333,Optimal
txn_300,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_301,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_302,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_303,1vnpay,1vnpay,0.6103,0.6103,0.0,1,M2pay,0.032,Optimal
txn_304,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_305,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_306,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_307,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_308,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_309,payok,payok,0.6937,0.6937,0.0,1,M2pay,0.115333,Optimal
txn_310,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_311,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_312,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_313,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_314,clearjunction,openpayd,0.6377,0.6457,0.008,0,openpayd,-0.008,Near-optimal
txn_315,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_316,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_317,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_318,Alfred,directa24,0.6297,0.6617,0.032,0,directa24,-0.032,Near-optimal
txn_319,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_320,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_321,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_322,directa24,directa24,0.6617,0.6617,0.0,1,tazapay,0.024,Optimal
txn_323,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_324,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
